horizon,model,framing,scheme,blend_w,params,cv_MAE,test_MAE,test_RMSE,test_MAPE,test2024_MAE,test2024_RMSE,test2024_MAPE,test2025_MAE,test2025_RMSE,test2025_MAPE,frozen_test_MAE
1,XGBoost,ratio_blend,decay,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",133.02875665066733,56.33878527132414,72.18789552415583,13.591625290948189,42.12989057889444,55.08222175874286,11.594210915117797,72.91582907915881,88.03961353232648,15.921942062750308,53.37736225447152
1,XGBoost,ratio_blend,decay,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",103.21891800103016,55.25326668014607,71.14141565763043,13.133124791088338,50.09756508510721,66.92340495518967,12.786926610285878,61.26825187435807,75.7662175900959,13.537022668691206,57.16263465747181
1,XGBoost,ratio_blend,decay,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",78.48831988647629,60.13472055971517,76.16456127796233,14.290990387973293,68.60208163118203,85.69025269526153,17.054017341421254,50.25613264300387,63.26371956842484,11.067458942284006,64.22457198742154
1,XGBoost,ratio_blend,window,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",126.20746967062182,50.68398490471835,65.74265088512541,12.070358657082725,39.01733315283797,51.705293462807695,10.599424933594968,64.29507861524546,79.02867442234685,13.786448001151768,55.822953912601314
1,XGBoost,ratio_blend,window,0.25,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",98.28305270051823,52.935878459053825,67.35971472124265,12.586011852134988,50.79136561074505,65.40707569710975,13.055232109073838,55.43781011541406,69.56855889039893,12.038588219039664,60.25654307120272
1,XGBoost,ratio_blend,window,0.5,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.03, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": 3, ""reg_lambda"": 3.0}",76.19913752253989,60.224546119282905,76.2125815485778,14.337346509092214,69.5063222419983,85.41230619154982,17.38859525830653,49.39580730944825,63.82503986050283,10.777556301675514,66.84587038698598
1,LightGBM,level,expand,0.0,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",50.958795696628734,59.173863553426656,79.17308487565201,13.778608946007894,53.48309184544737,74.2419300014052,13.543289497361123,65.81309721273583,84.56344423086404,14.053148302762464,120.39835591546074
1,LightGBM,level,expand,0.25,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",64.57456010465633,57.2681579481914,76.84552467950337,13.073036136952275,57.57684569370075,78.58089439547753,13.855234379627198,56.90802224509717,74.77003842285778,12.1604715204982,104.42441157010705
1,LightGBM,level,expand,0.5,"{""max_depth"": 3, ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",89.62166175549157,61.72199763396043,81.6032370838195,14.16304832706964,71.27017014556108,91.6799352829768,17.118530737228074,50.58246303709301,67.98489317343352,10.714985515218139,93.25493581566185
1,LightGBM,level,decay,0.0,"{""max_depth"": 2, ""n_estimators"": 300, ""learning_rate"": 0.05, ""num_leaves"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8}",50.3708730618874,56.58136675179162,72.50806818095349,13.220949989816717,52.41091061691013,67.68142776809701,13.56010880342025,61.44689890915336,77.76141900523085,12.825264707279254,109.83527639172785
