year,week,nasa_rain_sum,nasa_rain_mean,nasa_rain_max_daily,nasa_wet_days,temp_c_mean,temp_c_max,humidity_pct_mean
2021,39,24.04,3.434285714285714,9.68,4,21.15285714285714,21.43,91.91428571428571
2021,40,18.8,2.685714285714286,14.93,2,22.228571428571428,23.07,86.59142857142857
2021,41,59.150000000000006,8.450000000000001,30.73,3,19.12,20.54,91.06285714285715
2021,42,0.35,0.049999999999999996,0.22,0,17.674285714285713,18.1,84.95142857142856
2021,43,0.0,0.0,0.0,0,15.854285714285714,16.5,80.23857142857142
2021,44,0.43999999999999995,0.06285714285714285,0.41,0,15.959999999999999,16.73,85.13857142857144
2021,45,0.36,0.05142857142857143,0.24,0,15.507142857142856,16.18,82.44142857142857
2021,46,0.0,0.0,0.0,0,13.352857142857143,14.59,86.23
2021,47,0.79,0.11285714285714286,0.41,0,15.138571428571428,15.85,82.7057142857143
2021,48,0.1,0.014285714285714287,0.07,0,13.290000000000001,15.21,71.79428571428572
2021,49,0.0,0.0,0.0,0,11.85,12.93,60.03857142857142
2021,50,0.32999999999999996,0.04714285714285714,0.12,0,10.344285714285714,10.85,75.36571428571428
2021,51,27.630000000000003,3.9471428571428575,18.55,3,9.93142857142857,10.72,77.40857142857143
2021,52,0.32,0.045714285714285714,0.19,0,11.888571428571428,13.45,72.69142857142857
2022,1,1.58,0.22571428571428573,0.79,0,10.549999999999999,12.24,75.42857142857143
2022,2,2.09,0.29857142857142854,1.72,1,9.974285714285713,11.23,73.86
2022,3,0.69,0.09857142857142856,0.33,0,8.541428571428572,10.14,76.60571428571428
2022,4,37.38,5.340000000000001,25.41,3,8.634285714285713,10.04,76.9057142857143
2022,5,0.06,0.008571428571428572,0.03,0,10.065714285714284,11.02,74.95285714285716
2022,6,1.46,0.20857142857142857,1.31,1,11.84142857142857,12.72,68.27142857142857
2022,7,0.66,0.09428571428571429,0.43,0,12.627142857142857,14.33,61.285714285714285
2022,8,0.12,0.017142857142857144,0.06,0,15.324285714285717,16.97,51.82
2022,9,0.0,0.0,0.0,0,18.738571428571426,18.93,45.199999999999996
2022,10,2.44,0.3485714285714286,1.4,1,21.78142857142857,23.16,49.31142857142857
2022,11,6.8,0.9714285714285714,4.4,1,20.974285714285713,21.96,43.28285714285714
2022,12,8.16,1.1657142857142857,3.72,3,21.05857142857143,22.4,49.021428571428565
2022,13,9.690000000000001,1.3842857142857146,5.03,3,22.602857142857143,23.27,41.26571428571429
2022,14,1.81,0.25857142857142856,0.85,0,23.277142857142856,23.99,35.61142857142857
2022,15,13.25,1.8928571428571428,6.78,3,23.111428571428572,24.33,43.74142857142857
2022,16,12.93,1.8471428571428572,8.5,3,24.475714285714286,25.17,36.174285714285716
2022,17,53.44,7.634285714285714,24.21,6,21.072857142857142,21.88,75.05142857142857
2022,18,25.28,3.6114285714285717,7.11,6,23.135714285714283,24.66,68.17
2022,19,31.049999999999997,4.435714285714285,9.7,6,24.264285714285712,24.58,53.55714285714286
2022,20,42.05,6.007142857142857,16.13,5,22.352857142857143,22.8,60.472857142857144
2022,21,22.16,3.165714285714286,5.36,6,24.75142857142857,25.3,56.534285714285716
2022,22,50.800000000000004,7.257142857142858,15.46,6,24.494285714285716,24.75,62.29714285714285
2022,23,90.58,12.94,22.47,7,23.942857142857143,24.98,75.74000000000001
2022,24,52.61,7.515714285714286,12.83,7,22.87857142857143,23.28,81.20571428571428
2022,25,63.29,9.041428571428572,18.9,7,22.341428571428573,23.02,89.05285714285715
2022,26,45.050000000000004,6.435714285714286,22.21,6,23.59142857142857,24.11,86.94714285714285
2022,27,9.02,1.2885714285714285,2.88,4,23.889999999999997,24.45,83.67142857142856
2022,28,83.85,11.978571428571428,19.06,7,23.014285714285712,23.53,86.9042857142857
2022,29,97.95,13.992857142857144,21.54,7,22.18,22.62,86.59285714285714
2022,30,63.51,9.072857142857142,22.83,7,22.58285714285714,23.33,90.33571428571429
2022,31,40.769999999999996,5.824285714285714,14.18,5,23.267142857142858,23.72,87.39285714285714
2022,32,36.42,5.202857142857143,18.02,4,22.882857142857144,23.51,87.30714285714285
2022,33,65.21000000000001,9.315714285714288,22.21,6,22.674285714285713,23.28,87.84714285714287
2022,34,47.65,6.807142857142857,18.7,7,22.095714285714283,22.36,92.22571428571428
2022,35,57.18,8.168571428571429,17.88,7,21.858571428571427,22.25,89.92428571428572
2022,36,35.03,5.0042857142857144,10.62,6,21.318571428571428,22.03,89.26571428571428
2022,37,29.52,4.217142857142857,13.19,4,22.115714285714287,22.6,88.96428571428571
2022,38,12.030000000000001,1.7185714285714286,6.54,4,21.354285714285712,22.4,86.36714285714287
2022,39,80.31,11.472857142857142,23.73,7,20.678571428571427,22.72,88.27
2022,40,7.89,1.127142857142857,3.4,3,19.232857142857142,20.23,80.31857142857143
2022,41,0.0,0.0,0.0,0,17.755714285714287,18.31,68.83
2022,42,0.01,0.0014285714285714286,0.01,0,17.1,18.59,80.0442857142857
2022,43,0.0,0.0,0.0,0,17.12,17.88,80.71000000000001
2022,44,0.0,0.0,0.0,0,15.498571428571427,16.39,79.20714285714287
