year,week,rain_mean_mm,rain_max_mm,rain_std_mm,wet_days,max_daily_mm,n_stations
2021,40,8.240869565217391,83.3,18.39021476789997,0.782608695652174,55.3,23
2021,41,32.00217391304348,129.4,24.70470970124775,3.3043478260869565,51.1,23
2021,42,4.280434782608696,24.2,7.586518232580781,0.43478260869565216,24.2,23
2021,43,0.0004347826086956522,0.01,0.002085144140570748,0.0,0.01,23
2021,44,0.0,0.0,0.0,0.0,0.0,23
2021,45,0.0017391304347826088,0.02,0.00491026190103531,0.0,0.01,23
2021,46,0.0008695652173913044,0.01,0.002881040655200304,0.0,0.01,23
2021,47,0.6082608695652174,2.5,0.8100373289597835,0.2608695652173913,2.5,23
2021,48,0.0,0.0,0.0,0.0,0.0,23
2021,49,0.0,0.0,0.0,0.0,0.0,23
2021,50,0.18043478260869564,4.01,0.8350801717683353,0.043478260869565216,4.0,23
2021,51,42.11869565217391,58.010000000000005,8.25935959676152,1.9130434782608696,42.2,23
2021,52,0.0026086956521739132,0.02,0.005408235558637171,0.0,0.01,23
2022,1,3.8634782608695653,13.6,4.1200282530978,0.782608695652174,13.6,23
2022,2,4.699565217391305,22.700000000000003,7.000435361955498,0.7391304347826086,20.5,23
2022,3,0.43434782608695655,3.9299999999999997,0.9625337117447157,0.13043478260869565,3.4,23
2022,4,43.88695652173913,63.92,11.539685845252226,2.0434782608695654,42.0,23
2022,5,2.9778260869565214,18.4,4.822587910053857,0.391304347826087,18.4,23
2022,6,1.046086956521739,14.5,3.5033811449284693,0.08695652173913043,14.5,23
2022,7,1.7695652173913046,7.5200000000000005,2.5579368075584767,0.43478260869565216,7.2,23
2022,8,0.0004347826086956522,0.01,0.002085144140570748,0.0,0.01,23
2022,9,1.1652173913043478,26.8,5.588186296729604,0.08695652173913043,14.3,23
2022,10,0.9973913043478262,13.4,2.896160808869224,0.17391304347826086,13.4,23
2022,11,1.9382608695652173,16.099999999999998,3.5835059675913534,0.43478260869565216,15.7,23
2022,12,5.680434782608696,48.7,11.981508661365293,0.6086956521739131,40.2,23
2022,13,7.34304347826087,40.0,9.56694804321943,0.6956521739130435,40.0,23
2022,14,5.574347826086957,32.3,8.329531158958662,0.8695652173913043,26.5,23
2022,15,15.222173913043479,55.81,16.118694385577644,1.8695652173913044,48.5,23
2022,16,12.39913043478261,39.9,10.934294637034714,1.6521739130434783,28.0,23
2022,17,63.160000000000004,102.69999999999999,22.45560104254211,4.478260869565218,57.0,23
2022,18,33.7395652173913,129.11,26.398250196532633,3.260869565217391,68.5,23
2022,19,54.35521739130435,100.52000000000001,21.784230090421172,4.869565217391305,70.8,23
2022,20,59.07130434782608,123.82000000000001,29.65743970809898,4.3478260869565215,52.3,23
2022,21,28.75,69.7,21.18820383652616,2.782608695652174,48.4,23
2022,22,55.03217391304348,103.22,20.750742583979036,4.043478260869565,78.5,23
2022,23,115.47130434782609,185.0,42.97435792574957,6.043478260869565,97.2,23
2022,24,82.91869565217392,230.4,61.26164552032297,4.304347826086956,123.5,23
2022,25,80.35521739130435,141.8,28.64008234967294,4.913043478260869,52.0,23
2022,26,87.05260869565218,178.4,44.460126898092255,5.217391304347826,78.1,23
